Y,X1,X2,X3
102765672,804,526,243
43659616,517,91,928
37268910,245,162,939
119697200,394,868,350
7621326,449,82,207
575960,10,119,484
349272,6,98,594
15858960,299,272,195
164905389,513,561,573
10340750,311,266,125
22480446,467,226,213
755604990,995,861,882
200807880,994,210,962
28688616,814,132,267
90931340,883,380,271
1477437,881,39,43
1542271,571,73,37
87696,58,108,14
137436960,472,422,690
69156126,559,174,711
435173200,880,995,497
235879215,769,363,845
363411224,878,506,818
250492770,627,690,579
134669700,366,669,550
124917210,435,458,627
3985296,42,818,116
43792920,258,276,615
186702334,251,938,793
18823660,271,604,115
27028080,432,215,291
170435489,527,983,329
200481785,973,245,841
36539048,212,947,182
33118176,224,221,669
152224800,210,884,820
11478096,826,36,386
7140360,314,379,60
163632535,307,605,881
416759040,620,864,778
138296700,345,510,786
750444615,855,953,921
45424644,556,339,241
466083870,587,995,798
49192860,829,138,430
133757420,460,313,929
55881840,868,174,370
35918952,246,844,173
18225000,75,324,750
260571932,293,892,997
353482140,807,724,605
35883120,140,689,372
34730850,385,465,194
54266862,142,533,717
32036346,163,549,358
22049280,522,880,48
869660,236,11,335
15293512,307,52,958
417296970,531,883,890
60181416,457,531,248
129660672,394,857,384
147977280,972,346,440
52057925,505,265,389
17698714,473,353,106
96943392,959,702,144
4029300,198,22,925
9202594,283,71,458
42258780,563,540,139
138359256,758,212,861
28736664,674,418,102
60356292,163,523,708
58418402,601,371,262
172677923,599,359,803
322763168,728,542,818
18660504,852,466,47
88094980,610,163,886
756000,700,540,2
800070986,871,946,971
9213457,71,517,251
16434512,46,629,568
27154080,180,436,346
14610240,178,120,684
114336900,159,846,850
23478400,440,92,580
63759798,486,339,387
77541399,717,611,177
33543720,612,261,210
24478146,147,522,319
22308720,735,56,542
73308270,266,967,285
6650910,945,153,46
11278912,58,206,944
153679680,270,784,726
654024,8,229,357
41508635,703,245,241
125640480,420,488,613
226847135,841,365,739
6153420,780,23,343
4071690,414,35,281
1952256,246,992,8
92112999,157,773,759
162369584,208,799,977
192521440,622,365,848
102672000,345,992,300
501299988,822,686,889
25560480,412,660,94
70992306,253,786,357
2110356,183,961,12
150980544,594,376,676
72075744,468,279,552
8469435,13,771,845
56204276,778,82,881
229144020,958,335,714
